,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
6527704900182256036,Plano de Evolução - nível de qualidade equipe Java -,Seguradoras divulgam resultados de 2016 - Apólice,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,Labelling automated builds on Docker Hub - Microscaling Systems,AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%)
6535950170823528902,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Deck describing how MSFT plans to use Linkedin,Tendências do Marketing de Conteúdo 2016,AI Revolution 101 - AI Revolution
6540624159201421051,Bradesco vai lançar novo banco digital: o Next.,Woolworths,"""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living",The Future of Digital Banking is Now,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",The surprising truth about which countries lead in digital
6569463984699537820,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",OpenVpn rodando com Docker no Raspberry Pi,Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,Singapore bank wants you to talk to its chatbot to get your banking done
6583734846225935852,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Visual C++ for Linux Development,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Apple gives devs the chance to harness power of neural networks
6587635730509289343,Save time with Quick Access in Drive,All Together Now. Introducing G Suite.,Why image recognition is about to transform business,New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Goodbye accountants! Startup builds AI to automate all your accounting
6591221581057159843,Analyzing 50k fonts using deep neural networks,Google DeepMind researchers built a deep-learning system capable of learning from very little data.,DeepMind moves to TensorFlow,Finding The Meaning Of Artificial Intelligence At Google I/O,A Neural Network that Dreams in Resumes - untapt blog,Machine Intelligence - Research at Google
6591596441845797769,Facebook libera botão que integra rede social a sites de e-commerce,Cia. Hering sincroniza diferentes marcas em um único portal de compras,"Conheça o GoBox, marketplace do Grupo Abril - VEJA.com",A ESTRATÉGIA DA C&A PARA VENCER A CRISE - brweek,Nova versão do SAP Hybris Commerce vai ser apresentada durante o Forum E-Commerce Brasil 2016 - B!T magazine,Taco Bell chega ao Brasil no segundo semestre desse ano
6614704926858202954,Introduction to Spring REST Docs | Baeldung,Spring Boot 1.4 released,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,O machismo também mora nos detalhes - Think Olga,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Aussie Uses Arduino Chips To Roboticize a Ford Focus
6615662748793536194,Especial: O papel dos grandes provedores de TI na Rio 2016,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",This is the scientific reason we're addicted to our phones,Governo brasileiro cria manual para contratação de cloud,"Fintechs can help incumbents, not just disrupt them",Organizing for digital acceleration: Making a two-speed IT operating model work
6620060201676471218,Creating Compound Views on Android,"YouTube pode lançar serviço de televisão online ""Unplugged"" em 2017 | Google Discovery",UE não dá sossego ao Google. Novo alvo? O AdSense,"Fresco, sim! - Android Dev BR",Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,StrictMode for Runtime Analysis on Android - Google Developers
6638782839540370044,Python Eats Into R as SAS Dominance Fades,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,Replace Lego's $190 Intelligent Brick with MIT's Scratch and a $40 Raspberry Pi,Innovation is in all the wrong places,Google lança novos recursos para o Analytics,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine
6642437212220341339,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Governo define cronograma para plano nacional de Internet das Coisas,"SINAIS do FUTURO imediato: #1, internet das coisas",The Internet of Things,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Top 10 Hot Artificial Intelligence (AI) Technologies
6643427232964983922,#iLookLikeAnEngineer: One Year Later,The Language of Beauty Ads,Criadas para casar,A importância dos filmes de mulherzinha - Capitolina,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Promoting gender equality through emoji �� ��
6644171916702621557,Criando ícones animados no Android,Tasting Dagger 2 on Android,Exploring Java's Hidden Costs,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,"ConstraintLayout, Inside and Out: Part 1",Learn Microservices in Java - DZone - Refcardz
6652210819857467321,New blog from Dries: How should you decouple Drupal?,Artificial Intelligence Can Now Design Realistic Video and Game Imagery,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,"E quando o cliente diz ""Não gostei""?",The 7 Coolest Virtual Reality Experiences Made with Hololens So Far,When will AI and NLP actually turn Siri into your best friend?
6658257247913756761,Former NASA chief unveils $100 million neural chip maker KnuEdge,The return of the machinery question,Artificial intelligence produces realistic sounds that fool humans,Automation and anxiety,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Facebook ditches Bing, 800M users now see its own AI text translations"
6664082205633624486,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Tipos de teste com usuários explicados em GIFs,"How to build a robot that ""sees"" with $100 and TensorFlow",Reactive log stream processing with RxJava - Part I,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Scott Penrose: Arduino Static Strings
6669026579073415958,IBM Watson is about to make Slack's chat bot smarter,So long MVP. Hello Minimum Loveable Product.,What Pinterest learned in two years working on its search engine,Readable Content Guides,O RH chega ao board,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen"
6678691743269420670,Why Deep Learning Is Suddenly Changing Your Life,The Competitive Landscape for Machine Intelligence,Gmail API: New endpoints for settings,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,Clarifying the uses of artificial intelligence in the enterprise,Former NASA chief unveils $100 million neural chip maker KnuEdge
6690761795935927461,"contentId
6690761795935927461    Webinars | MATERA Systems
6690761795935927461    Webinars | MATERA Systems
Name: title, dtype: object",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,MG promove até dia 15 conferência sobre diversidade sexual e cidadania LGBT,Sesi oferece curso de LIBRAS com certificação de 40 horas,Diversidade no Brasil: um longo caminho a percorrer,"Episódio de ""Meninas Superpoderosas"" apresenta pônei trans"
6737022915341644067,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Why Introverts Are Better at Sales Than Extroverts,Coca-Cola Brasil entra no mercado de café,How Coca-Cola Is Harvesting Innovation Energy From Startups,[Security] How to Set Expiration Dates for Shared Google Drive Files,Wells Fargo to Verify Customers through Eye Prints
6750029764020453263,"Microsoft anuncia Visual Studio para Mac, disponível ainda nesta semana | MacMagazine.com.br",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Announcing .NET Core 1.0,New MacBook Pro is not a Laptop for Developers Anymore,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi
6754313450809254838,Five priorities for competing in an era of digital globalization,CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution,NOW NEW NEXT: How growth champions create new value,Two Different Sales Motions . . . .,The omnichannel customer experience is poised to take off in regulated industries,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up"
6754417485681598974,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,"How to build a robot that ""sees"" with $100 and TensorFlow","Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow",Arduino clone is as small as an AA battery,Top 10 Intranet Trends of 2016
6757348772114374254,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,The White House Has Realized Artificial Intelligence Is Very Important,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog","contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object",Google and Ray Kurzweil are making chatbots together,Qualcomm Snapdragon 820 Deep Learning SDK Nudges Local Neural Nets Closer To Mainstream
6766105865162331239,Stop Trying to Sound Smart When You're Writing,The Three Language Acquisition Stages,Top 30 Commonly Confused Words in English,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,My Approach to Mobile Accessibility Testing - Ministry of Testing
6769852549722242790,Itaú vende carteira de vida para Prudential | Sonho Seguro,"Rakuten Acquires Bitnet, Plans to Open Blockchain Lab in Northern Ireland - Crowdfund Insider",CNseg anuncia os finalistas da 6ª edição do Prêmio de Inovação em Seguros - Sonho Seguro,Principais startups do ramo de saúde criam o 1o Cluster de Saúde Digital do Brasil | EXAME.com,"SulAmérica continua investindo, apesar da crise - Sonho Seguro",Porto Seguro compra carteira de seguros Auto da Chubb
